Index, Entity Type, Name, Lastname, Date of birth, Address, PESEL, Gender, Field of study, Subjects, Grades, Academic Title, Department
141414,Student,Magdalena,Abacka,30.03.2001r,ul.Slowacka 15 Krakow,77889912345,Female,Computer Science,Analytics; Math; Physics,Math={2.5 3 4.5 2};Physics={3.5 5 3.5 4};,N/A,N/A,
989898,Student,Marcelina,Kartofel,04.08.1999r,ul.Boberska 103 Krakow,44556612345,Female,Computer Science,Analytics; Math; Physics,Math={2.5 3 4.5 2};Physics={3.5 5 3.5 4};,N/A,N/A,
501501,Student,Mateusz,Matuszczka,01.01.2001r,ul.Mateczna 14 Krakow ,55667712345,Male,Computer Science,Analytics; Math; Physics,Math={2.5 3 4.5 2};Physics={3.5 5 3.5 4};,N/A,N/A,
444999,Student,Izabela,Matta,30.06.2001r,ul.Kalwaryjska 12 Krakow,45454512345,Female,Architecture,Analytics; Math; Physics,Math={2.5 3 4.5 2};Physics={3.5 5 3.5 4};,N/A,N/A,
401521,Student,Mariusz,Wieclawek,18.02.1999r,ul.Kowalna 20 33-300 Nowy Sacz,99021812345,Male,Architecture,Analytics; Math; Physics,Math={2.5 3 4.5 2};Physics={3.5 5 3.5 4};,N/A,N/A,
333333,Student,Karol,Wysowiecki,12.08.1999r,Slowackiego 12 Krakow 31300,12131412345,Male,Medicine,Analytics; Math; Physics,Math={2.5 3 4.5 2};Physics={3.5 5 3.5 4};,N/A,N/A,
999111,Student,Mikolaj,Swiety,05.03.1999r,Lapland,45454512345,Default,Medicine,Analytics; Math; Physics,Math={2.5 3 4.5 2};Physics={3.5 5 3.5 4};,N/A,N/A,
142142,Student,Michal,Koziara,09.04.1999r,Molowa 12 Krakow 30-302,12345678910,Default,Medicine,Analytics; Math; Physics,Math={2.5 3 4.5 2};Physics={3.5 5 3.5 4};,N/A,N/A,
141414,Student,Mati,Kowal,01.08.2002r,Ulana 23 krakow,15611412345,Default,Law,Analytics; Math; Physics,Math={2.5 3 4.5 2};Physics={3.5 5 3.5 4};,N/A,N/A,
140140,Student,Robert,Makaron,12.03.1998r,ul.Czarnowiejska 145,15151512345,Male,Law,Astrophysics; Physics,Math={2 3 4 5};Physics={2.5 3 2 4.5};,N/A,N/A,
123599,Student,Mikolaj,Jetpak,30.03.1999r,Konopnicka 12 30-300 krakow,12040090909,Male,Mathematics,Analytics; Math; Physics,Math={2.5 3 4.5 2};Physics={3.5 5 3.5 4};,N/A,N/A,
123456,Student,Michal,Kowalski,18.10.2001r,Dluga 12 Krakow,31313112345,Male,Mathematics,Analytics; Math; Physics,Math={2.5 3 4.5 2};Physics={3.5 5 3.5 4};,N/A,N/A,
111112,Student,Angela,Czerniak,11.11.1999r,ul.Krucza 111 Krakow,88776612345,Female,Physics,Analytics; Math; Physics,Math={2.5 3 4.5 2};Physics={3.5 5 3.5 4};,N/A,N/A,
234234,Student,Mateusz,Kolucha,21.09.1997r,Czarnowiejska 21 Krakow,12121312345,Male,Physics,Analytics; Math; Physics,Math={2.5 3 4.5 2};Physics={3.5 5 3.5 4};,N/A,N/A,
606606,Professor,Angelika,Kozlowska,12.05.1989r,Krakow,89898912345,Female,N/A,N/A,N/A,Professor,Physics
332299,Professor,Adam,Kowalski,12.03.1978r,Czarnowiejska 1 Krakow,33221112345,Male,N/A,N/A,N/A,Professor,Mathematics
343343,Professor,Mateusz,Mikolajak,12.12.1992r,Krakow,34343412345,Male,N/A,N/A,N/A,Professor,Physics
111222,Professor,Mikolaj,Kopernik,13.02.1966r,Krakow Czarna 12,88779912345,Male,N/A,N/A,N/A,Associate Professor,Computer Science
